Isotope,Energy (keV),XS (mb),Info
181Ta,146.78,869.439036767308,"(n,g)181Ta"
181Ta,118.9,643.0240832915854,"(n,g)181Ta"
181Ta,139.46,514.9180201042333,"(n,g)181Ta"
181Ta,122.97,362.58676870024414,"(n,g)181Ta"
181Ta,156.09,218.9993653082161,"(n,g)181Ta"
181Ta,58.93,123.41329557095959,"(n,g)181Ta"
181Ta,106.0,89.36951838597544,"(n,g)181Ta"
181Ta,237.29,19.669648697140435,"(n,g)181Ta"
181Ta,233.71,19.50409846020419,"(n,g)181Ta"
181Ta,252.77,12.9222599999964,"(n,g)181Ta"
181Ta,150.14,9.544198594135924,"(n,g)181Ta"
181Ta,172.57,6.535452861340702,"(n,g)181Ta"
181Ta,249.97,1.544184598350409,"(n,g)181Ta"
185Re,59.01,93816.21302231486,"(n,g)185Re"
185Re,40.35,47415.089628008,"(n,g)185Re"
185Re,87.26,22338.22939113687,"(n,g)185Re"
185Re,74.57,18314.030663059995,"(n,g)185Re"
185Re,214.65,5979.808588517167,"(n,g)185Re"
185Re,122.52,4978.181594979583,"(n,g)185Re"
185Re,12.07,4605.006013303936,"(n,g)185Re"
185Re,111.34,4388.663875732352,"(n,g)185Re"
185Re,255.0,3113.2733639036287,"(n,g)185Re"
185Re,99.7,2642.871105613693,"(n,g)185Re"
185Re,103.31,1880.0170834231592,"(n,g)185Re"
185Re,64.42,1878.9203171779554,"(n,g)185Re"
185Re,151.69,1775.8623708096632,"(n,g)185Re"
185Re,127.35,1653.8744214863566,"(n,g)185Re"
185Re,210.7,1132.8054582520901,"(n,g)185Re"
185Re,99.36,966.5188071347906,"(n,g)185Re"
185Re,174.27,901.4365033651866,"(n,g)185Re"
185Re,167.74,483.3600458477081,"(n,g)185Re"
185Re,169.44,245.98973946689213,"(n,g)185Re"
185Re,209.79,147.2466282057562,"(n,g)185Re"
185Re,146.27,92.84210909332977,"(n,g)185Re"
187Re,63.58,52095.43404451833,"(n,g)187Re"
187Re,105.86,17233.96101549524,"(n,g)187Re"
187Re,37.12,12122.17581325895,"(n,g)187Re"
187Re,13.3,11001.736551645945,"(n,g)187Re"
187Re,111.7,7181.634123869349,"(n,g)187Re"
187Re,92.46,7088.3199026416105,"(n,g)187Re"
187Re,207.86,3847.9728277796826,"(n,g)187Re"
187Re,141.76,3294.573593022846,"(n,g)187Re"
187Re,41.7,1844.4057790829104,"(n,g)187Re"
187Re,205.34,356.63949608853096,"(n,g)187Re"
187Re,156.05,35.58380444298234,"(n,g)187Re"
187Re,169.44,26.218229761130406,"(n,g)187Re"
19F,583.6,3.618585957,"(n,g)19F"
19F,656.0,1.9902749569999998,"(n,g)19F"
19F,665.2,1.497662988,"(n,g)19F"
19F,983.5,1.1659664589999998,"(n,g)19F"
19F,1056.8,0.9448418251999999,"(n,g)19F"
19F,6600.1,0.9448418251999999,"(n,g)19F"
19F,6016.7,0.9448418251999999,"(n,g)19F"
19F,1387.9,0.8342411950999999,"(n,g)19F"
19F,1309.2,0.7638790033,"(n,g)19F"
19F,3488.1,0.723736348,"(n,g)19F"
19F,5033.5,0.6231737762999999,"(n,g)19F"
19F,1843.7,0.6131357179,"(n,g)19F"
19F,2529.2,0.5830215427,"(n,g)19F"
19F,4556.8,0.5247088523000001,"(n,g)19F"
19F,3964.9,0.4432645674,"(n,g)19F"
19F,166.8,0.4423067373999999,"(n,g)19F"
19F,5279.3,0.42414628060000004,"(n,g)19F"
19F,5543.7,0.4120967792,"(n,g)19F"
19F,3014.6,0.40712564149999997,"(n,g)19F"
19F,2431.1,0.35178222410000004,"(n,g)19F"
19F,3051.4,0.2985364544,"(n,g)19F"
19F,3586.2,0.291467669,"(n,g)19F"
19F,1542.5,0.27540485989999997,"(n,g)19F"
19F,1148.1,0.2653668015,"(n,g)19F"
19F,3112.7,0.241277377,"(n,g)19F"
19F,5291.4,0.23726406930000002,"(n,g)19F"
19F,822.7,0.2201476472,"(n,g)19F"
19F,556.4,0.20304080340000003,"(n,g)19F"
19F,2469.3,0.1979738827,"(n,g)19F"
19F,2143.3,0.1970160527,"(n,g)19F"
19F,2427.8,0.19099130199999997,"(n,g)19F"
19F,3074.8,0.1899472673,"(n,g)19F"
19F,4757.0,0.1899472673,"(n,g)19F"
19F,3589.5,0.1789513789,"(n,g)19F"
19F,1046.0,0.1778977659,"(n,g)19F"
19F,4173.5,0.16785970749999998,"(n,g)19F"
19F,661.6,0.1517968984,"(n,g)19F"
19F,1371.5,0.145781726,"(n,g)19F"
19F,2447.6,0.14176841829999998,"(n,g)19F"
19F,5616.8,0.13870336230000002,"(n,g)19F"
19F,2194.2,0.1336364416,"(n,g)19F"
19F,5360.9,0.1195850755,"(n,g)19F"
19F,2324.1,0.1175832108,"(n,g)19F"
19F,4200.6,0.10858918709999998,"(n,g)19F"
19F,3823.1,0.1065873224,"(n,g)19F"
19F,662.2,0.1025740147,"(n,g)19F"
19F,2636.1,0.09750709399999999,"(n,g)19F"
19F,5935.1,0.09750709399999999,"(n,g)19F"
19F,2921.0,0.09444586932,"(n,g)19F"
19F,4245.7,0.09348995498,"(n,g)19F"
19F,2965.9,0.0914823433,"(n,g)19F"
19F,2179.1,0.0914823433,"(n,g)19F"
19F,2529.6,0.09043064596,"(n,g)19F"
19F,1970.7,0.09043064596,"(n,g)19F"
19F,3679.9,0.08746711993999999,"(n,g)19F"
19F,2255.8,0.08746711993999999,"(n,g)19F"
19F,1282.1,0.08641638043,"(n,g)19F"
19F,2930.3,0.08641638043,"(n,g)19F"
19F,1392.2,0.07838593371,"(n,g)19F"
19F,2655.7,0.07838593371,"(n,g)19F"
19F,3025.1,0.07637832202999999,"(n,g)19F"
19F,1644.5,0.07341575384,"(n,g)19F"
19F,1935.5,0.07341575384,"(n,g)19F"
19F,2519.1,0.07035644482,"(n,g)19F"
19F,2431.4,0.07035644482,"(n,g)19F"
19F,2043.9,0.06834883314,"(n,g)19F"
19F,3219.9,0.06127525859,"(n,g)19F"
19F,3387.6,0.06127525859,"(n,g)19F"
19F,978.2,0.06127525859,"(n,g)19F"
19F,4951.9,0.05926764690999999,"(n,g)19F"
19F,3741.4,0.058311732570000004,"(n,g)19F"
19F,4081.8,0.054296509209999996,"(n,g)19F"
19F,4735.2,0.054296509209999996,"(n,g)19F"
19F,2229.8,0.05228889752999999,"(n,g)19F"
19F,5554.6,0.05228889752999999,"(n,g)19F"
19F,4708.2,0.05228889752999999,"(n,g)19F"
19F,4335.1,0.04722293466,"(n,g)19F"
19F,2009.5,0.04722293466,"(n,g)19F"
19F,1187.7,0.04521532298,"(n,g)19F"
19F,2623.2,0.044259408640000004,"(n,g)19F"
19F,325.7,0.04120009962,"(n,g)19F"
19F,2310.0,0.04120009962,"(n,g)19F"
19F,2504.5,0.03823753143,"(n,g)19F"
19F,4046.7,0.03622991975,"(n,g)19F"
19F,2981.3,0.03517822241,"(n,g)19F"
19F,2602.8,0.03517822241,"(n,g)19F"
19F,3023.9,0.03211891339,"(n,g)19F"
19F,2349.6,0.03116299905,"(n,g)19F"
19F,4095.0,0.028104647859999998,"(n,g)19F"
19F,4960.3,0.02714873352,"(n,g)19F"
19F,3293.2,0.026097036179999998,"(n,g)19F"
19F,1708.5,0.026097036179999998,"(n,g)19F"
19F,3973.5,0.024089424499999998,"(n,g)19F"
19F,620.4,0.02313351016,"(n,g)19F"
19F,2933.8,0.02313351016,"(n,g)19F"
19F,4639.0,0.02313351016,"(n,g)19F"
19F,1318.5,0.02313351016,"(n,g)19F"
19F,2232.9,0.021125898479999995,"(n,g)19F"
19F,4954.5,0.021125898479999995,"(n,g)19F"
19F,2346.3,0.021125898479999995,"(n,g)19F"
1H,2223.3,332.01259999999996,"(n,g)1H"
204Pb,2.33,689.585188658718,"(n,g)204Pb"
204Pb,260.48,200.75830355901783,"(n,g)204Pb"
204Pb,573.88,126.59425825299463,"(n,g)204Pb"
204Pb,995.27,66.46479897065973,"(n,g)204Pb"
204Pb,262.81,65.3850651935957,"(n,g)204Pb"
204Pb,227.19,41.36581296922808,"(n,g)204Pb"
204Pb,540.59,41.26058026965657,"(n,g)204Pb"
204Pb,576.21,39.131173135660276,"(n,g)204Pb"
204Pb,313.4,11.467961118012552,"(n,g)204Pb"
204Pb,759.1,11.092547655040477,"(n,g)204Pb"
204Pb,803.4,8.902871077008784,"(n,g)204Pb"
204Pb,703.44,8.475607635131436,"(n,g)204Pb"
204Pb,761.43,7.318629617466049,"(n,g)204Pb"
204Pb,185.22,7.215129213291968,"(n,g)204Pb"
204Pb,1043.72,2.853394095835482,"(n,g)204Pb"
204Pb,498.62,1.2505809860528558,"(n,g)204Pb"
204Pb,282.29,0.3640076989013094,"(n,g)204Pb"
204Pb,987.62,0.22117081486621765,"(n,g)204Pb"
204Pb,780.91,0.2147502827584092,"(n,g)204Pb"
204Pb,284.18,0.05254389483242743,"(n,g)204Pb"
204Pb,127.24,0.009358908454936006,"(n,g)204Pb"
204Pb,26.22,0.008383473296591927,"(n,g)204Pb"
206Pb,897.8,21.523183670018412,"(n,g)206Pb"
206Pb,569.7,8.966961188227005,"(n,g)206Pb"
206Pb,1725.7,2.0388552701801905,"(n,g)206Pb"
206Pb,1770.25,0.2828943752864199,"(n,g)206Pb"
206Pb,328.1,0.20496152099412157,"(n,g)206Pb"
206Pb,2092.7,0.08414294610526069,"(n,g)206Pb"
206Pb,1063.67,0.01256963556446722,"(n,g)206Pb"
206Pb,1093.63,0.007700438354238735,"(n,g)206Pb"
206Pb,1442.15,0.005352166431958995,"(n,g)206Pb"
206Pb,362.05,0.004780008483731275,"(n,g)206Pb"
206Pb,1068.63,0.004780008483731275,"(n,g)206Pb"
206Pb,387.05,0.001259031880683547,"(n,g)206Pb"
206Pb,1546.63,6.327277893410339e-05,"(n,g)206Pb"
207Pb,2614.55,359.0906776507107,"(n,g)207Pb"
207Pb,583.19,11.275260677893277,"(n,g)207Pb"
207Pb,277.37,5.4969017831514275,"(n,g)207Pb"
207Pb,860.56,4.786015459370498,"(n,g)207Pb"
207Pb,748.7,1.9927807264570707,"(n,g)207Pb"
207Pb,510.7,0.8300463863102535,"(n,g)207Pb"
207Pb,1381.15,0.1858972873357127,"(n,g)207Pb"
207Pb,252.52,0.13548123136544468,"(n,g)207Pb"
207Pb,763.22,0.1244058267555874,"(n,g)207Pb"
207Pb,211.36,0.10081368953762741,"(n,g)207Pb"
207Pb,797.96,0.05274145528151354,"(n,g)207Pb"
207Pb,125.2,0.04321148024829194,"(n,g)207Pb"
207Pb,569.89,0.04321148024829194,"(n,g)207Pb"
207Pb,839.26,0.04294943806906974,"(n,g)207Pb"
207Pb,328.56,0.04294943806906974,"(n,g)207Pb"
207Pb,233.33,0.033077250399668696,"(n,g)207Pb"
207Pb,722.06,0.029742375418425084,"(n,g)207Pb"
207Pb,1093.89,0.012051143879480091,"(n,g)207Pb"
207Pb,485.85,0.0037735057936360847,"(n,g)207Pb"
225Ac,18.8,20252.396746816,"(n,g)225Ac"
225Ac,5.1,11148.460209808,"(n,g)225Ac"
225Ac,26.2,9605.076660928,"(n,g)225Ac"
225Ac,58.3,2793.588475224,"(n,g)225Ac"
225Ac,13.3,2793.588475224,"(n,g)225Ac"
225Ac,28.2,2067.7329116016,"(n,g)225Ac"
225Ac,14.5,2067.7329116016,"(n,g)225Ac"
225Ac,32.7,2038.1441564336003,"(n,g)225Ac"
225Ac,12.0,1575.9478897272002,"(n,g)225Ac"
225Ac,51.5,1575.9478897272002,"(n,g)225Ac"
226Ac,27.37,85520.617253,"(n,g)226Ac"
226Ac,118.02,38374.5527183,"(n,g)226Ac"
