Isotope,Energy (keV),XS (mb),Info
104Pd,2276.5,20.529502950763234,"(n,n')104Pd"
104Pd,758.79,16.693741453040218,"(n,n')104Pd"
104Pd,740.7,15.859065890792717,"(n,n')104Pd"
104Pd,1782.09,14.827441208017504,"(n,n')104Pd"
104Pd,1720.69,14.370621297633727,"(n,n')104Pd"
104Pd,1526.57,14.189657825910718,"(n,n')104Pd"
104Pd,941.72,13.292119999731687,"(n,n')104Pd"
104Pd,1637.59,12.68246617323758,"(n,n')104Pd"
104Pd,451.18,12.441447359419453,"(n,n')104Pd"
104Pd,1625.75,10.35527165238505,"(n,n')104Pd"
104Pd,975.31,7.573632930146042,"(n,n')104Pd"
104Pd,216.52,7.194969529220654,"(n,n')104Pd"
104Pd,2337.9,5.930967559963623,"(n,n')104Pd"
104Pd,903.22,5.326258517165846,"(n,n')104Pd"
104Pd,117.34,5.3015504844874535,"(n,n')104Pd"
104Pd,934.82,3.9005982236841166,"(n,n')104Pd"
104Pd,923.63,3.721800621062126,"(n,n')104Pd"
104Pd,996.22,3.5585756281943155,"(n,n')104Pd"
104Pd,839.88,2.4852622119747707,"(n,n')104Pd"
104Pd,665.51,2.4559403241995454,"(n,n')104Pd"
104Pd,657.42,2.367465736467783,"(n,n')104Pd"
104Pd,460.71,1.6582077430075362,"(n,n')104Pd"
104Pd,452.62,1.5724292154401702,"(n,n')104Pd"
104Pd,444.66,0.9304405687127434,"(n,n')104Pd"
104Pd,795.32,0.9189366255281188,"(n,n')104Pd"
104Pd,925.91,0.7095215597088366,"(n,n')104Pd"
104Pd,1709.5,0.664605729942844,"(n,n')104Pd"
104Pd,182.93,0.13291741938494975,"(n,n')104Pd"
104Pd,342.7,0.11624281705892985,"(n,n')104Pd"
105Pd,306.25,98.389632071,"(n,n')105Pd"
105Pd,442.38,59.4256988421,"(n,n')105Pd"
105Pd,280.51,44.840354464035485,"(n,n')105Pd"
105Pd,319.22,41.93653865718227,"(n,n')105Pd"
105Pd,447.0,25.022278000000004,"(n,n')105Pd"
105Pd,535.0,23.9889955,"(n,n')105Pd"
105Pd,644.53,22.518388012,"(n,n')105Pd"
105Pd,560.75,21.807571606866507,"(n,n')105Pd"
105Pd,781.94,20.6046564215,"(n,n')105Pd"
105Pd,182.89,16.770659189,"(n,n')105Pd"
105Pd,339.56,15.857308578499998,"(n,n')105Pd"
105Pd,331.48,10.284158478600002,"(n,n')105Pd"
105Pd,696.66,9.786171099999999,"(n,n')105Pd"
105Pd,254.28,9.254313974999999,"(n,n')105Pd"
105Pd,787.0,8.6350405,"(n,n')105Pd"
