Description: None
Label: None
Date created: 2026-04-21
Real time (s): None
Live time (s): None
Energy calibration: -1.3227E-01ch^0 + 8.7313E-01ch^1
counts,counts_err,Energy (keV)
257.0,16.0312195418814,185.8445302948569
260.0,16.1245154965971,186.71766079974387
249.0,15.7797338380595,187.59079130463084
290.0,17.029386365926403,188.4639218095178
251.0,15.84297951775486,189.3370523144048
264.0,16.24807680927192,190.21018281929176
260.0,16.1245154965971,191.08331332417873
246.0,15.684387141358123,191.9564438290657
256.0,16.0,192.82957433395268
278.0,16.673332000533065,193.70270483883962
264.0,16.24807680927192,194.5758353437266
234.0,15.297058540778355,195.44896584861357
293.0,17.11724276862369,196.32209635350054
242.0,15.556349186104045,197.1952268583875
273.0,16.522711641858304,198.0683573632745
267.0,16.34013463836819,198.94148786816146
283.0,16.822603841260722,199.81461837304843
266.0,16.30950643030009,200.6877488779354
285.0,16.881943016134134,201.56087938282238
276.0,16.61324772583615,202.43400988770935
281.0,16.76305461424021,203.30714039259632
284.0,16.852299546352718,204.1802708974833
282.0,16.792855623746664,205.05340140237027
298.0,17.26267650163207,205.92653190725724
295.0,17.175564037317667,206.79966241214422
286.0,16.911534525287763,207.6727929170312
278.0,16.673332000533065,208.54592342191816
355.0,18.841443681416774,209.41905392680513
307.0,17.52141546793523,210.2921844316921
320.0,17.88854381999832,211.16531493657908
315.0,17.74823934929885,212.03844544146605
323.0,17.97220075561143,212.91157594635303
324.0,18.0,213.78470645123997
333.0,18.24828759089466,214.65783695612694
338.0,18.384776310850235,215.53096746101392
318.0,17.832554500127006,216.4040979659009
325.0,18.027756377319946,217.27722847078786
326.0,18.05547008526779,218.15035897567483
313.0,17.69180601295413,219.0234894805618
329.0,18.138357147217054,219.89661998544878
315.0,17.74823934929885,220.76975049033575
325.0,18.027756377319946,221.64288099522273
336.0,18.33030277982336,222.5160115001097
301.0,17.349351572897472,223.38914200499667
339.0,18.411952639521967,224.26227250988364
333.0,18.24828759089466,225.13540301477062
302.0,17.378147196982766,226.0085335196576
311.0,17.635192088548397,226.88166402454456
335.0,18.303005217723125,227.75479452943154
300.0,17.320508075688775,228.6279250343185
337.0,18.35755975068582,229.50105553920548
319.0,17.86057109949175,230.37418604409245
315.0,17.74823934929885,231.24731654897943
293.0,17.11724276862369,232.1204470538664
307.0,17.52141546793523,232.99357755875337
303.0,17.406895185529212,233.86670806364032
282.0,16.792855623746664,234.7398385685273
281.0,16.76305461424021,235.61296907341426
288.0,16.97056274847714,236.48609957830124
281.0,16.76305461424021,237.3592300831882
273.0,16.522711641858304,238.23236058807518
288.0,16.97056274847714,239.10549109296215
285.0,16.881943016134134,239.97862159784913
299.0,17.291616465790582,240.8517521027361
265.0,16.278820596099706,241.72488260762307
268.0,16.3707055437449,242.59801311251005
262.0,16.186414056238647,243.47114361739702
268.0,16.3707055437449,244.344274122284
222.0,14.89966442575134,245.21740462717096
262.0,16.186414056238647,246.09053513205794
253.0,15.905973720586866,246.9636656369449
257.0,16.0312195418814,247.83679614183188
227.0,15.066519173319364,248.70992664671886
241.0,15.524174696260024,249.58305715160583
249.0,15.7797338380595,250.4561876564928
221.0,14.866068747318506,251.32931816137977
201.0,14.177446878757825,252.20244866626675
238.0,15.427248620541512,253.07557917115372
239.0,15.459624833740307,253.94870967604066
203.0,14.247806848775006,254.82184018092764
228.0,15.0996688705415,255.6949706858146
204.0,14.2828568570857,256.5681011907016
225.0,15.0,257.44123169558856
198.0,14.071247279470288,258.31436220047556
